Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Телефон 1,Телефон 2,Телефон 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Twitter,ВКонтакте,YouTube,Широта,Долгота,2GIS URL
Почта России,почтомат,Постаматы,"улица Кожевническая, 7 ст1",1 этаж,115114,,Замоскворечье район,Москва,,Москва,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-19:00,+03:00,88002005888 (единая справочная: круглосуточно),88001000000 (единая справочная: круглосуточно),,http://pochta.ru,,,https://twitter.com/ruspostofficial,https://vk.com/russianpost,https://youtube.com/channel/UCLD0z0qgV1mIMt6NzUKQmuA,55.730147,37.645149,https://2gis.com/firm/70000001057201203
Леруа Мерлен,постамат,Постаматы,"проспект Лихачёва, 15",1 этаж,115280,,Даниловский район,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,,,,,,,,,,55.699468,37.646076,https://2gis.com/firm/70000001063502458
Яндекс.Маркет,постамат,Постаматы,"Новинский бульвар, 8",1 этаж,121099,,Арбат район,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,84954143000 (единый номер: круглосуточно),84951363796 (единый номер: круглосуточно),,http://clck.ru/sSLPr,http://market.yandex.ru,,https://twitter.com/yandexmarket,https://vk.com/yandex,,55.751194,37.583715,https://2gis.com/firm/70000001052026510
Wildberries,интернет-магазин,Постаматы,"Нижегородская улица, 3",,109147,,Таганский район,Москва,,Москва,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+03:00,84957755505 (единый номер: пн-вс 9:00-21:00),,,http://wildberries.ru,,,https://twitter.com/wildberries_ru,https://vk.com/wildberries_shop,,55.739603,37.676624,https://2gis.com/firm/70000001058950703
OZON box,автоматизированный пункт выдачи,Постаматы,"Тверская-Ямская 1-я, 2 ст1",2 этаж,127006,,Тверской район,Москва,,Москва,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+03:00,88002347000,,,http://www.ozon.ru,,,https://twitter.com/ozon_ru,https://vk.com/ozon,,55.770355,37.596673,https://2gis.com/firm/70000001030443821
OZON box,автоматизированный пункт выдачи,Постаматы,"Нижний Сусальный переулок, 5 ст1",1 этаж,105064,,Басманный район,Москва,,Москва,Россия,Пн: 07:30-21:00; Вт: 07:30-21:00; Ср: 07:30-21:00; Чт: 07:30-21:00; Пт: 07:30-21:00; Сб: 08:00-21:00; Вс: 10:00-21:00,+03:00,88002347000,,,http://www.ozon.ru,,,https://twitter.com/ozon_ru,https://vk.com/ozon,,55.761675,37.663223,https://2gis.com/firm/70000001032122591
Почта России,почтомат,Постаматы,"Лубянский проезд, вход метро №5",,101000,,Басманный район,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,88002005888 (единая справочная: круглосуточно),88001000000 (единая справочная: круглосуточно),,http://pochta.ru,,,https://twitter.com/ruspostofficial,https://vk.com/russianpost,https://youtube.com/channel/UCLD0z0qgV1mIMt6NzUKQmuA,55.759396,37.628358,https://2gis.com/firm/70000001059072855
PickPoint,постамат,Постаматы,"Тишинская площадь, 1 ст1",1 этаж,123056,,Пресненский район,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,84959843122 (единая справочная: круглосуточно),88007007909 (контакт-центр),84959881230 (единая справочная: круглосуточно),http://pickpoint.ru,,,https://twitter.com/pickpoint_ru,https://vk.com/pickpoint_rus,https://youtube.com/channel/UC3v9nmkVBNuVBVxTySdsoqw,55.768953,37.583296,https://2gis.com/firm/4504128908631962
PickPoint,постамат,Постаматы,"Международная, 15",1 этаж,109544,,Таганский район,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,84959843122 (единая справочная: круглосуточно),88007007909 (контакт-центр),84959881230 (единая справочная: круглосуточно),http://pickpoint.ru,,,https://twitter.com/pickpoint_ru,https://vk.com/pickpoint_rus,https://youtube.com/channel/UC3v9nmkVBNuVBVxTySdsoqw,55.74575,37.684899,https://2gis.com/firm/70000001046501015
Почта России,почтомат,Постаматы,"улица Куусинена, 2 к1",цокольный этаж,123308,,Хорошёвский район,Москва,,Москва,Россия,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+03:00,88002005888 (единая справочная: круглосуточно),88001000000 (единая справочная: круглосуточно),,http://pochta.ru,,,https://twitter.com/ruspostofficial,https://vk.com/russianpost,https://youtube.com/channel/UCLD0z0qgV1mIMt6NzUKQmuA,55.77828,37.517563,https://2gis.com/firm/70000001060695091
Почта России,почтомат,Постаматы,"Комсомольская площадь, 6",2 этаж,107140,,Красносельский район,Москва,,Москва,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+03:00,88002005888 (единая справочная: круглосуточно),88001000000 (единая справочная: круглосуточно),,http://pochta.ru,,,https://twitter.com/ruspostofficial,https://vk.com/russianpost,https://youtube.com/channel/UCLD0z0qgV1mIMt6NzUKQmuA,55.776099,37.659764,https://2gis.com/firm/70000001062468663
Почта России,почтомат,Постаматы,"площадь Киевского вокзала, вл1",,121059,,Дорогомилово район,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,88002005888 (единая справочная: круглосуточно),88001000000 (единая справочная: круглосуточно),,http://pochta.ru,,,https://twitter.com/ruspostofficial,https://vk.com/russianpost,https://youtube.com/channel/UCLD0z0qgV1mIMt6NzUKQmuA,55.744128,37.566939,https://2gis.com/firm/70000001057344163
OZON box,автоматизированный пункт выдачи,Постаматы,"улица Студенческая, 23",1 этаж; аптека Будь здоров!,121165,,Дорогомилово район,Москва,,Москва,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,88002347000,,,http://www.ozon.ru,,,https://twitter.com/ozon_ru,https://vk.com/ozon,,55.741354,37.546365,https://2gis.com/firm/70000001030708762
PickPoint,постамат,Постаматы,"Театральный проезд, 5 ст1",2 этаж,109012,,Мещанский район,Москва,,Москва,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,84959843122 (единая справочная: круглосуточно),88007007909 (контакт-центр),84959881230 (единая справочная: круглосуточно),http://pickpoint.ru,,,https://twitter.com/pickpoint_ru,https://vk.com/pickpoint_rus,https://youtube.com/channel/UC3v9nmkVBNuVBVxTySdsoqw,55.760155,37.625842,https://2gis.com/firm/70000001041403956
Cainiao,постамат,Постаматы,"Мичуринский проспект, 3 ст1",,119192,Шуваловский Prima жилой комплекс,Раменки район,Москва,,Москва,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,84951621088 (единая справочная: пн-вс 7:00-21:00),88002344899 (единая справочная: пн-вс 7:00-21:00),,http://cainiao.ru,,,,,,55.70356,37.513028,https://2gis.com/firm/70000001062443560
PickPoint,постамат,Постаматы,"Карманицкий переулок, 9",1 этаж,119002,,Арбат район,Москва,,Москва,Россия,,+03:00,84959843122 (единая справочная: круглосуточно),88007007909 (контакт-центр),84959881230 (единая справочная: круглосуточно),http://pickpoint.ru,,,https://twitter.com/pickpoint_ru,https://vk.com/pickpoint_rus,https://youtube.com/channel/UC3v9nmkVBNuVBVxTySdsoqw,55.748294,37.583867,https://2gis.com/firm/70000001064724060
Почта России,почтомат,Постаматы,"Тверская улица, вход метро №2",,127006,,Тверской район,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,88002005888 (единая справочная: круглосуточно),88001000000 (единая справочная: круглосуточно),,http://pochta.ru,,,https://twitter.com/ruspostofficial,https://vk.com/russianpost,https://youtube.com/channel/UCLD0z0qgV1mIMt6NzUKQmuA,55.765622,37.604197,https://2gis.com/firm/70000001055484241
PickPoint,постамат,Постаматы,"Оружейный переулок, 41",1 этаж,127006,,Тверской район,Москва,,Москва,Россия,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-19:00; Вс: 09:00-19:00,+03:00,84959843122 (единая справочная: круглосуточно),88007007909 (контакт-центр),84959881230 (единая справочная: круглосуточно),http://pickpoint.ru,,,https://twitter.com/pickpoint_ru,https://vk.com/pickpoint_rus,https://youtube.com/channel/UC3v9nmkVBNuVBVxTySdsoqw,55.773415,37.606158,https://2gis.com/firm/70000001041399294
Почта России,почтомат,Постаматы,"улица Орджоникидзе, 6 к9",1 этаж,115419,,Донской район,Москва,,Москва,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,88002005888 (единая справочная: круглосуточно),88001000000 (единая справочная: круглосуточно),,http://pochta.ru,,,https://twitter.com/ruspostofficial,https://vk.com/russianpost,https://youtube.com/channel/UCLD0z0qgV1mIMt6NzUKQmuA,55.710598,37.598272,https://2gis.com/firm/70000001061605722
Почта России,почтомат,Постаматы,"улица Большая Филёвская, 3",1 этаж,121087,,Филёвский парк район,Москва,,Москва,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+03:00,88002005888 (единая справочная: круглосуточно),88001000000 (единая справочная: круглосуточно),,http://pochta.ru,,,https://twitter.com/ruspostofficial,https://vk.com/russianpost,https://youtube.com/channel/UCLD0z0qgV1mIMt6NzUKQmuA,55.752029,37.513833,https://2gis.com/firm/70000001054795282
PickPoint,постамат,Постаматы,"Люблинская улица, 4 к1а",2 этаж,109125,,Текстильщики район,Москва,,Москва,Россия,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+03:00,84959843122 (единая справочная: круглосуточно),88007007909 (контакт-центр),84959881230 (единая справочная: круглосуточно),http://pickpoint.ru,,,https://twitter.com/pickpoint_ru,https://vk.com/pickpoint_rus,https://youtube.com/channel/UC3v9nmkVBNuVBVxTySdsoqw,55.708948,37.732263,https://2gis.com/firm/70000001031503521
Яндекс.Маркет,постамат,Постаматы,"1-й Красногвардейский проезд, 19",,123112,,Пресненский район,Москва,,Москва,Россия,,+03:00,84954143000 (единый номер: круглосуточно),84951363796 (единый номер: круглосуточно),,http://clck.ru/sSLPr,http://market.yandex.ru,,https://twitter.com/yandexmarket,https://vk.com/yandex,,55.750456,37.535597,https://2gis.com/firm/70000001059468186
Почта России,почтомат,Постаматы,"Славянская площадь, вход метро №10",,,,Тверской район,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,88002005888 (единая справочная: круглосуточно),88001000000 (единая справочная: круглосуточно),,http://pochta.ru,,,https://twitter.com/ruspostofficial,https://vk.com/russianpost,https://youtube.com/channel/UCLD0z0qgV1mIMt6NzUKQmuA,55.754141,37.634271,https://2gis.com/firm/70000001059478645
Почта России,почтомат,Постаматы,"улица Мясницкая, 26а ст1",1 этаж,101000,,Басманный район,Москва,,Москва,Россия,Пн: 11:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00,+03:00,88002005888 (единая справочная: круглосуточно),88001000000 (единая справочная: круглосуточно),,http://pochta.ru,,,https://twitter.com/ruspostofficial,https://vk.com/russianpost,https://youtube.com/channel/UCLD0z0qgV1mIMt6NzUKQmuA,55.763698,37.636859,https://2gis.com/firm/70000001054727911
PickPoint,постамат,Постаматы,"Комсомольская площадь, 6",1 этаж,107140,,Красносельский район,Москва,,Москва,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+03:00,84959843122 (единая справочная: круглосуточно),88007007909 (контакт-центр),84959881230 (единая справочная: круглосуточно),http://pickpoint.ru,,,https://twitter.com/pickpoint_ru,https://vk.com/pickpoint_rus,https://youtube.com/channel/UC3v9nmkVBNuVBVxTySdsoqw,55.775646,37.659914,https://2gis.com/firm/70000001039324045
Почта России,почтомат,Постаматы,"Ленинградский проспект, 44",,125167,,Аэропорт район,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,88002005888 (единая справочная: круглосуточно),88001000000 (единая справочная: круглосуточно),,http://pochta.ru,,,https://twitter.com/ruspostofficial,https://vk.com/russianpost,https://youtube.com/channel/UCLD0z0qgV1mIMt6NzUKQmuA,55.795197,37.545807,https://2gis.com/firm/70000001052464469
Почта России,почтомат,Постаматы,"Хорошёвское шоссе, 34 ст1",1 этаж,125284,,Хорошёвский район,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,88002005888 (единая справочная: круглосуточно),88001000000 (единая справочная: круглосуточно),,http://pochta.ru,,,https://twitter.com/ruspostofficial,https://vk.com/russianpost,https://youtube.com/channel/UCLD0z0qgV1mIMt6NzUKQmuA,55.775042,37.53957,https://2gis.com/firm/70000001060707942
СберЛогистика,постамат,Постаматы,"Пресненская набережная, 2",1 этаж,123112,,Пресненский район,Москва,,Москва,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-19:00,+03:00,88001007269 (единый номер: пн-вс 09:00-21:00),,,http://sberlogistics.ru/?utm_source=posto&utm_medium=2gis&utm_campaign=geo&utm_content=click,,,,https://vk.com/sberlogistic,,55.749917,37.541266,https://2gis.com/firm/70000001047608007
OmniCDEK,постамат,Постаматы,"улица Гризодубовой, 4 к4",1 этаж; универсам Манго,125252,,Хорошёвский район,Москва,,Москва,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,88007753553,,,http://omnicdek.com,http://cdek.ru,http://omnicdek.ru,,https://vk.com/cdek_express,,55.785546,37.521426,https://2gis.com/firm/70000001060596080
Яндекс.Маркет,постамат,Постаматы,"Зубовский бульвар, 17",1 этаж,119021,,Хамовники район,Москва,,Москва,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+03:00,84954143000 (единый номер: круглосуточно),84951363796 (единый номер: круглосуточно),,http://clck.ru/sSLPr,http://market.yandex.ru,,https://twitter.com/yandexmarket,https://vk.com/yandex,,55.736424,37.590561,https://2gis.com/firm/70000001043268005
Почта России,почтомат,Постаматы,"улица Большая Полянка, 30",,119180,,Якиманка район,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,88002005888 (единая справочная: круглосуточно),88001000000 (единая справочная: круглосуточно),,http://pochta.ru,,,https://twitter.com/ruspostofficial,https://vk.com/russianpost,https://youtube.com/channel/UCLD0z0qgV1mIMt6NzUKQmuA,55.734085,37.619132,https://2gis.com/firm/70000001062608493
Почта России,почтомат,Постаматы,"площадь Киевского вокзала, 1",1 этаж; Киевский вокзал,121059,,Дорогомилово район,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,88002005888 (единая справочная: круглосуточно),88001000000 (единая справочная: круглосуточно),,http://pochta.ru,,,https://twitter.com/ruspostofficial,https://vk.com/russianpost,https://youtube.com/channel/UCLD0z0qgV1mIMt6NzUKQmuA,55.743629,37.567492,https://2gis.com/firm/4504128908689217
Почта России,почтомат,Постаматы,"улица 1905 года, вход метро №3",,123022,,Пресненский район,Москва,,Москва,Россия,Пн: 05:30-01:00; Вт: 05:30-01:00; Ср: 05:30-01:00; Чт: 05:30-01:00; Пт: 05:30-01:00; Сб: 05:30-01:00; Вс: 05:30-01:00,+03:00,88002005888 (единая справочная: круглосуточно),88001000000 (единая справочная: круглосуточно),,http://pochta.ru,,,https://twitter.com/ruspostofficial,https://vk.com/russianpost,https://youtube.com/channel/UCLD0z0qgV1mIMt6NzUKQmuA,55.765587,37.560289,https://2gis.com/firm/70000001056462781
PickPoint,постамат,Постаматы,"Васильцовский Стан, 5 к2",1 этаж,109125,,Рязанский район,Москва,,Москва,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+03:00,84959843122 (единая справочная: круглосуточно),88007007909 (контакт-центр),84959881230 (единая справочная: круглосуточно),http://pickpoint.ru,,,https://twitter.com/pickpoint_ru,https://vk.com/pickpoint_rus,https://youtube.com/channel/UC3v9nmkVBNuVBVxTySdsoqw,55.714084,37.748792,https://2gis.com/firm/70000001051104544
OZON box,автоматизированный пункт выдачи,Постаматы,"улица Воздвиженка, 9",1 этаж,119019,,Арбат район,Москва,,Москва,Россия,Пн: 07:00-22:00; Вт: 07:00-22:00; Ср: 07:00-22:00; Чт: 07:00-22:00; Пт: 07:00-22:00; Сб: 07:00-22:00; Вс: 07:00-22:00,+03:00,88002347000,,,http://www.ozon.ru,,,https://twitter.com/ozon_ru,https://vk.com/ozon,,55.752677,37.605223,https://2gis.com/firm/70000001062776825
OZON box,автоматизированный пункт выдачи,Постаматы,"Большая Татарская, 13 ст5",2 этаж,115184,,Замоскворечье район,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,88002347000,,,http://www.ozon.ru,,,https://twitter.com/ozon_ru,https://vk.com/ozon,,55.742589,37.63414,https://2gis.com/firm/70000001038928181
OZON box,автоматизированный пункт выдачи,Постаматы,"улица Большие Каменщики, 6",1 этаж; магазин ВкусВилл,115172,,Таганский район,Москва,,Москва,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,88002347000,,,http://www.ozon.ru,,,https://twitter.com/ozon_ru,https://vk.com/ozon,,55.737384,37.65393,https://2gis.com/firm/70000001036009136
OZON box,автоматизированный пункт выдачи,Постаматы,"Таганская улица, 2 ст1",2 этаж,109147,,Таганский район,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,88002347000,,,http://www.ozon.ru,,,https://twitter.com/ozon_ru,https://vk.com/ozon,,55.741013,37.657324,https://2gis.com/firm/70000001060776479
Почта России,почтомат,Постаматы,"1-й Вражский переулок, 4",,119121,,Хамовники район,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,88002005888 (единая справочная: круглосуточно),88001000000 (единая справочная: круглосуточно),,http://pochta.ru,,,https://twitter.com/ruspostofficial,https://vk.com/russianpost,https://youtube.com/channel/UCLD0z0qgV1mIMt6NzUKQmuA,55.739723,37.574896,https://2gis.com/firm/70000001061115743
PickPoint,постамат,Постаматы,"улица Мастеркова, 6",1 этаж,115280,,Даниловский район,Москва,,Москва,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+03:00,84959843122 (единая справочная: круглосуточно),88007007909 (контакт-центр),84959881230 (единая справочная: круглосуточно),http://pickpoint.ru,,,https://twitter.com/pickpoint_ru,https://vk.com/pickpoint_rus,https://youtube.com/channel/UC3v9nmkVBNuVBVxTySdsoqw,55.708332,37.657188,https://2gis.com/firm/70000001041403779
OZON box,автоматизированный пункт выдачи,Постаматы,"проспект 60-летия Октября, 25 к1",,117292,,Академический район,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,88002347000,,,http://www.ozon.ru,,,https://twitter.com/ozon_ru,https://vk.com/ozon,,55.690825,37.576165,https://2gis.com/firm/70000001048140122
OmniCDEK,постамат,Постаматы,"Пресненская набережная, 12",-3 этаж,123112,,Пресненский район,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,88007753553,,,http://omnicdek.com,http://cdek.ru,http://omnicdek.ru,,https://vk.com/cdek_express,,55.749703,37.537861,https://2gis.com/firm/70000001047059814
Почта России,почтомат,Постаматы,"Большая Семёновская улица, 27 к2",,107023,,Соколиная Гора район,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,88002005888 (единая справочная: круглосуточно),88001000000 (единая справочная: круглосуточно),,http://pochta.ru,,,https://twitter.com/ruspostofficial,https://vk.com/russianpost,https://youtube.com/channel/UCLD0z0qgV1mIMt6NzUKQmuA,55.78247,37.708004,https://2gis.com/firm/70000001063238466
PickPoint,постамат,Постаматы,"Ленинградский проспект, 62а",2 этаж,125319,,Аэропорт район,Москва,,Москва,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,84959843122 (единая справочная: круглосуточно),88007007909 (контакт-центр),84959881230 (единая справочная: круглосуточно),http://pickpoint.ru,,,https://twitter.com/pickpoint_ru,https://vk.com/pickpoint_rus,https://youtube.com/channel/UC3v9nmkVBNuVBVxTySdsoqw,55.801701,37.532264,https://2gis.com/firm/70000001053838562
PickPoint,постамат,Постаматы,"Семёновский переулок, 18",,107023,,Соколиная Гора район,Москва,,Москва,Россия,Пн: 08:30-20:00; Вт: 08:30-20:00; Ср: 08:30-20:00; Чт: 08:30-20:00; Пт: 08:30-20:00; Сб: 10:00-20:00; Вс: 10:00-18:00,+03:00,84959843122 (единая справочная: круглосуточно),88007007909 (контакт-центр),84959881230 (единая справочная: круглосуточно),http://pickpoint.ru,,,https://twitter.com/pickpoint_ru,https://vk.com/pickpoint_rus,https://youtube.com/channel/UC3v9nmkVBNuVBVxTySdsoqw,55.782345,37.714031,https://2gis.com/firm/70000001053819426
OZON box,автоматизированный пункт выдачи,Постаматы,"улица Бориса Галушкина, 17",,129301,,Алексеевский район,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 09:00-23:00,+03:00,88002347000,,,http://www.ozon.ru,,,https://twitter.com/ozon_ru,https://vk.com/ozon,,55.823898,37.658753,https://2gis.com/firm/70000001060697417
PickPoint,постамат,Постаматы,"Береговой проезд, 5а к1",1 этаж,121087,,Филёвский парк район,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,84959843122 (единая справочная: круглосуточно),88007007909 (контакт-центр),84959881230 (единая справочная: круглосуточно),http://pickpoint.ru,,,https://twitter.com/pickpoint_ru,https://vk.com/pickpoint_rus,https://youtube.com/channel/UC3v9nmkVBNuVBVxTySdsoqw,55.755372,37.509883,https://2gis.com/firm/70000001033074122
Почта России,почтомат,Постаматы,"улица Барклая, 10",1 этаж,121309,,Филёвский парк район,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,88002005888 (единая справочная: круглосуточно),88001000000 (единая справочная: круглосуточно),,http://pochta.ru,,,https://twitter.com/ruspostofficial,https://vk.com/russianpost,https://youtube.com/channel/UCLD0z0qgV1mIMt6NzUKQmuA,55.743792,37.499548,https://2gis.com/firm/70000001063124078
OmniCDEK,постамат,Постаматы,"улица Берзарина, 23",,123154,,Хорошёво-Мнёвники район,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,88007753553,,,http://omnicdek.com,http://cdek.ru,http://omnicdek.ru,,https://vk.com/cdek_express,,55.787985,37.473044,https://2gis.com/firm/70000001063455501
