,№ - ТОП,№,Адрес,Площадь м2,Год,Этажей,Подьездов,Помещений / Квартир
0,,17725.0,"пр-кт. Маршала Жукова, д. 12, к. 3, Москва",4371.7,1959,4,,
2,,17729.0,"пр-кт. Маршала Жукова, д. 14, к. 2, Москва",4358.5,1959,4,,
3,,17878.0,"ул. Маршала Конева, д. 9, Москва",1170.0,1949,4,,
4,,17892.0,"ул. Маршала Мерецкова, д. 4, Москва",2672.0,1951,4,,
5,,17923.0,"ул. Маршала Новикова, д. 1, Москва",3618.8,1947,4,,
6,,17930.0,"ул. Маршала Новикова, д. 5, Москва",3421.6,1947,4,,
7,,17938.0,"ул. Маршала Новикова, д. 10, к. 1, Москва",3567.0,1938,4,,
8,,17946.0,"ул. Маршала Новикова, д. 19, к. 1, Москва",2219.0,1959,4,,
9,,17947.0,"ул. Маршала Новикова, д. 19, к. 2, Москва",3665.0,1958,4,,
10,,18070.0,"ул. Маршала Соколовского, д. 6, Москва",1082.0,1948,4,,
11,,18077.0,"ул. Маршала Тимошенко, д. 4, Москва",3462.7,1955,4,3,47
13,,18081.0,"ул. Маршала Тимошенко, д. 10, Москва",3678.3,1957,4,,
14,,18323.0,"ул. Матросова, д. 1, Москва",5945.0,1953,4,,
15,,18324.0,"ул. Матросова, д. 3, Москва",3582.0,1954,4,,
16,,18325.0,"ул. Матросова, д. 5, Москва",5442.0,1955,4,,
17,,18326.0,"ул. Матросова, д. 6, Москва",4709.0,1958,4,,
18,,18327.0,"ул. Матросова, д. 7, к. 1, Москва",5391.0,1959,4,,
19,,18330.0,"ул. Матросова, д. 7, к. 4, Москва",3444.0,1954,4,,
20,,18350.0,"ул. Машкова, д. 10, стр. 2, Москва",1320.3,1907,4,,
21,,18356.0,"ул. Машкова, д. 21, Москва",932.2,1917,4,,
22,,18359.0,"ул. Машкова, д. 26, стр. 1, Москва",602.7,1917,4,,
23,,18360.0,"ул. Машкова, д. 26, стр. 2, Москва",760.6,1905,4,,
24,,18361.0,"ул. Машкова, д. 28/20, стр. 2, Москва",1253.0,1917,4,,
25,,18417.0,"ул. Международная, д. 9, Москва",1162.0,1956,4,,
26,,18418.0,"ул. Международная, д. 13, Москва",1283.0,1955,4,,
27,,18429.0,"ул. Мельникова, д. 1, Москва",2086.8,1957,4,,
28,,18451.0,"ул. Менжинского, д. 15, к. 1, Москва",2619.0,1962,4,,
29,,18452.0,"ул. Менжинского, д. 15, к. 2, Москва",2004.0,1963,4,,
30,,18456.0,"ул. Менжинского, д. 19, к. 1, Москва",2573.0,1960,4,,
31,,18464.0,"ул. Менжинского, д. 26, к. 1, Москва",1278.0,1960,4,,
32,,18466.0,"ул. Менжинского, д. 28, к. 1, Москва",1296.0,1960,4,,
33,,18478.0,"пер. Мерзляковский, д. 7/2, Москва",565.0,1917,4,,
34,,18482.0,"пер. Мерзляковский, д. 15, Москва",2586.2,1900,4,,
36,,18544.0,"ул. Мещанская, д. 1/17, стр. 1, Москва",2632.3,1874,4,,
37,,18545.0,"ул. Мещанская, д. 1/17, стр. 2, Москва",1128.9,1874,4,,
38,,18637.0,"ул. Миллионная, д. 12, Москва",3560.8,1956,4,,
39,,18642.0,"ул. Миллионная, д. 15, к. 2, Москва",3573.0,1931,4,,
40,,18724.0,"пр-кт. Мира, д. 77, к. 1, Москва",1044.0,1913,4,,
41,,18826.0,"ул. Мироновская, д. 40, Москва",2671.9,1961,4,4,45
42,,18828.0,"ул. Мироновская, д. 44А, Москва",1100.4,1956,4,,
43,,18836.0,"пер. Мирской, д. 8, к. 3, Москва",1238.0,1956,4,,
44,,18907.0,"ул. Михайлова, д. 22, к. 2, Москва",947.1,1958,4,,
45,,19110.0,"ш. Можайское, д. 21, к. 2, Москва",2309.0,1960,4,,
46,,19222.0,"ул. Молодогвардейская, д. 33, к. 2, Москва",2075.5,0,4,,
47,,19571.0,"ул. Мытная, д. 25, к. 1, Москва",5824.4,1925,4,,
49,,19591.0,"ул. Мясницкая, д. 24/7, стр. 2, Москва",5106.0,1892,4,,
50,,19593.0,"ул. Мясницкая, д. 30, стр. 3, Москва",1720.0,1876,4,,
51,,19596.0,"ул. Мясницкая, д. 32, стр. 2, Москва",1642.0,1890,4,,
52,,19603.0,"б-р. Мячковский, д. 6, к. 1, Москва",2221.0,1995,4,,
53,,19604.0,"б-р. Мячковский, д. 6, к. 2, Москва",2862.0,1995,4,,
54,,19711.0,"ул. Нагорная, д. 5, к. 1, Москва",4296.0,1954,4,,
55,,19720.0,"ул. Нагорная, д. 9, к. 2, Москва",2540.0,1957,4,,
56,,19724.0,"ул. Нагорная, д. 13, к. 4, Москва",1900.0,1949,4,,
58,,19844.0,"проезд. Нансена, д. 2, к. 1, Москва",3222.4,1959,4,,
59,,19845.0,"проезд. Нансена, д. 2, к. 2, Москва",4435.0,1956,4,,
60,,19847.0,"проезд. Нансена, д. 4, Москва",4154.0,1958,4,,
61,,19859.0,"проезд. Напольный, д. 1, Москва",3695.6,1960,4,,
62,,19883.0,"ул. Нарвская, д. 13, Москва",4166.0,1957,4,,
63,,19907.0,"ул. Наро-Фоминская, д. 3, Москва",6071.3,1961,4,,
64,,19908.0,"ул. Наро-Фоминская, д. 5, Москва",5993.8,1961,4,,
65,,19909.0,"ул. Наро-Фоминская, д. 7, Москва",6062.8,1961,4,,
66,,19910.0,"ул. Наро-Фоминская, д. 9, Москва",6029.5,1961,4,,
67,,19911.0,"ул. Наро-Фоминская, д. 10, Москва",5970.8,1960,4,,
68,,19912.0,"ул. Наро-Фоминская, д. 11, Москва",5996.5,1961,4,,
69,,19913.0,"ул. Наро-Фоминская, д. 13, Москва",6030.0,1961,4,,
70,,19914.0,"ул. Наро-Фоминская, д. 15, Москва",5874.8,1960,4,,
71,,19917.0,"ул. Народная, д. 12, Москва",1961.0,1900,4,1,11
72,,19919.0,"ул. Народная, д. 14, стр. 1, Москва",2997.0,1900,4,,
73,,20000.0,"пер. Наставнический, д. 8, к. 1, Москва",1803.0,1957,4,,
74,,20084.0,"пер. Нащокинский, д. 10, Москва",1185.0,1870,4,,
75,,20145.0,"ул. Нелидовская, д. 16, Москва",3315.0,1958,4,,
76,,20146.0,"ул. Нелидовская, д. 18, Москва",3558.0,1958,4,,
77,,20151.0,"ул. Нелидовская, д. 21, Москва",2044.0,1957,4,,
78,,20152.0,"ул. Нелидовская, д. 22, Москва",2728.0,1958,4,,
79,,20155.0,"ул. Нелидовская, д. 23, Москва",1946.0,1957,4,,
80,,20157.0,"ул. Нелидовская, д. 25, Москва",1994.0,1957,4,,
81,,20171.0,"ул. Немчинова, д. 12, Москва",1883.7,1936,4,,
82,,20259.0,"пер. Сусальный Ниж., д. 3, Москва",2679.7,1963,4,,
84,,20401.0,"ул. Николая Химушина, д. 11, к. 2, Москва",2670.4,1961,4,,
85,,20402.0,"ул. Николая Химушина, д. 11, к. 3, Москва",2669.5,1960,4,,
86,,20510.0,"ул. Басманная Нов., д. 12, стр. 2, Москва",3986.5,1917,4,,
87,,20521.0,"ул. Басманная Нов., д. 28, стр. 1, Москва",4504.3,1917,4,,
88,,20618.0,"б-р. Новинский, д. 10, стр. 1, Москва",1504.8,1931,4,,
89,,20630.0,"б-р. Новинский, д. 18А, Москва",3188.6,1905,4,,
90,,20631.0,"б-р. Новинский, д. 18Б, Москва",2317.3,1890,4,,
91,,20649.0,"ул. Новоалексеевская, д. 17, Москва",1965.0,1958,4,,
92,,20653.0,"ул. Новоалексеевская, д. 18, к. 4, Москва",2153.0,1959,4,,
94,,20695.0,"ул. Новогиреевская, д. 24, к. 3, Москва",6113.8,1951,4,,
95,,20738.0,"ул. Новозаводская, д. 8/8, к. 5, Москва",3369.0,1929,4,,
96,,20739.0,"ул. Новозаводская, д. 8/8, к. 6, Москва",3316.0,1930,4,,
97,,20742.0,"ул. Новозаводская, д. 13, Москва",3165.0,1932,4,,
98,,20744.0,"ул. Новозаводская, д. 15, к. 2, Москва",3213.0,1931,4,,
99,,20746.0,"ул. Новозаводская, д. 17, к. 1, Москва",5148.0,1932,4,,
100,,20846.0,"ул. Новокузнецкая, д. 30, стр. 1, Москва",1321.0,1927,4,,
101,,20878.0,"пер. Новолесной, д. 11/13, Москва",2273.0,1956,4,2,24
102,,20879.0,"ул. Новомарьинская, д. 3, к. 1, Москва",2585.0,1995,4,,
103,,20885.0,"ул. Новомарьинская, д. 5, к. 2, Москва",5638.0,1995,4,,
104,,20888.0,"ул. Новомарьинская, д. 10, к. 2, Москва",2982.0,1995,4,,
105,,20891.0,"ул. Новомарьинская, д. 12/12, к. 2, Москва",2546.0,1995,4,,
106,,20939.0,"ул. Новопесчаная, д. 4, к. 1, Москва",2137.8,1949,4,,
107,,20940.0,"ул. Новопесчаная, д. 4, к. 2, Москва",2090.4,1949,4,,
108,,20941.0,"ул. Новопесчаная, д. 5, Москва",2110.4,1945,4,,
109,,20942.0,"ул. Новопесчаная, д. 6, к. 1, Москва",2076.6,1950,4,,
110,,20943.0,"ул. Новопесчаная, д. 6, к. 2, Москва",2081.3,1950,4,,
111,,20944.0,"ул. Новопесчаная, д. 7, Москва",2108.7,1949,4,,
112,,20946.0,"ул. Новопесчаная, д. 8, к. 2, Москва",4398.8,1950,4,,
113,,20948.0,"ул. Новопесчаная, д. 9, Москва",2626.6,1949,4,,
114,,20990.0,"ул. Новопоселковая, д. 3, Москва",1960.0,1959,4,,
115,,20991.0,"ул. Новопоселковая, д. 3а, Москва",1952.0,1959,4,,
116,,20992.0,"ул. Новопоселковая, д. 5, Москва",1949.0,1958,4,,
117,,20994.0,"ул. Новопоселковая, д. 7, Москва",1988.0,1958,4,,
118,,20995.0,"ул. Новопоселковая, д. 7а, Москва",1964.0,1959,4,,
119,,20996.0,"ул. Новопоселковая, д. 7б, Москва",1986.0,1959,4,,
120,,20997.0,"ул. Новопоселковая, д. 9, Москва",1960.0,1958,4,,
121,,20998.0,"ул. Новопоселковая, д. 9а, Москва",1981.0,1958,4,,
122,,20999.0,"ул. Новопоселковая, д. 9б, Москва",1990.0,1958,4,,
123,,21000.0,"ул. Новопоселковая, д. 11а, Москва",1963.0,1959,4,,
124,,21001.0,"ул. Новопоселковая, д. 13, Москва",1924.0,1958,4,,
125,,21002.0,"ул. Новопоселковая, д. 13а, Москва",1969.0,1958,4,,
126,,21004.0,"ул. Новопоселковая, д. 15а, Москва",1961.0,1958,4,,
127,,21005.0,"ул. Новопоселковая, д. 17, Москва",1326.0,1960,4,,
128,,21007.0,"пер. Новопресненский, д. 7, стр. 2, Москва",1215.2,1956,4,,
129,,21040.0,"ул. Новороссийская, д. 21, Москва",3384.0,1961,4,,
130,,21054.0,"ул. Новорязанская, д. 22/14, Москва",1769.0,1914,4,,
131,,21078.0,"ул. Новослободская, д. 5, стр. 1, Москва",1010.0,1906,4,1,12
132,,21079.0,"ул. Новослободская, д. 5, стр. 2, Москва",1615.0,1905,4,,
133,,21083.0,"ул. Новослободская, д. 14/19, стр. 8, Москва",2743.0,1917,4,,
134,,21094.0,"ул. Новослободская, д. 52, Москва",1469.0,1888,4,,
135,,21095.0,"ул. Новослободская, д. 52, стр. 2, Москва",2790.0,1917,4,,
136,,21147.0,"ул. Новохохловская, д. 5, Москва",3445.0,1959,4,,
137,,21329.0,"ул. Образцова, д. 12, Москва",1574.8,1927,4,,
138,,21461.0,"пер. Озерковский, д. 7, стр. 1, Москва",2284.8,1898,4,,
139,,21462.0,"пер. Озерковский, д. 9, Москва",1394.9,1907,4,,
140,,21536.0,"ул. Окружная, д. 2, Москва",2623.0,1948,4,,
141,,21543.0,"ул. Окружная, д. 10а, Москва",3096.0,1962,4,,
142,,21546.0,"ул. Окружная, д. 20, Москва",2913.0,1962,4,,
143,,21707.0,"пер. Олсуфьевский, д. 6, стр. 1, Москва",1804.0,1995,4,,
144,,21799.0,"ул. Орджоникидзе, д. 5, к. 3, Москва",3524.7,1934,4,,
145,,21826.0,"ул. Оренбургская, д. 12, к. 1, Москва",1946.3,1962,4,,
146,,21827.0,"ул. Оренбургская, д. 12, к. 2, Москва",2035.7,1961,4,,
147,,21984.0,"ул. Осташковская, д. 5, Москва",2474.0,1953,4,,
148,,21990.0,"ул. Осташковская, д. 8, Москва",2780.0,1936,4,,
149,,21991.0,"ул. Осташковская, д. 9, к. 1, Москва",2902.0,1937,4,,
150,,21996.0,"ул. Осташковская, д. 10, Москва",2849.0,1952,4,,
151,,21998.0,"ул. Осташковская, д. 13, Москва",2876.0,1936,4,,
152,,21999.0,"ул. Осташковская, д. 17, Москва",3614.0,1937,4,,
153,,22000.0,"ул. Осташковская, д. 19, Москва",3488.7,1937,4,,
154,,22009.0,"ул. Остоженка, д. 1/9, Москва",4211.5,1927,4,,
156,,22025.0,"ул. Остоженка, д. 47, Москва",1260.0,1917,4,,
157,,22098.0,"проезд. Островной, д. 1, Москва",5694.0,2003,4,,
158,,22099.0,"проезд. Островной, д. 2, Москва",2757.0,2003,4,,
159,,22100.0,"проезд. Островной, д. 3, Москва",5551.0,2003,4,,
160,,22102.0,"проезд. Островной, д. 4, Москва",2767.0,2003,4,,
161,,22103.0,"проезд. Островной, д. 5, к. 1, Москва",5717.0,2004,4,2,27
162,,22104.0,"проезд. Островной, д. 6, Москва",2754.0,2003,4,,
163,,22105.0,"проезд. Островной, д. 7, к. 1, Москва",5729.0,2004,4,,
164,,22107.0,"проезд. Островной, д. 8, Москва",8429.0,2004,4,,
165,,22108.0,"проезд. Островной, д. 9, к. 1, Москва",5638.0,2003,4,,
166,,22110.0,"проезд. Островной, д. 10, к. 2, Москва",2868.0,2003,4,,
167,,22111.0,"проезд. Островной, д. 10, к. 3, Москва",2753.0,2003,4,,
168,,22113.0,"проезд. Островной, д. 12, к. 1, Москва",5436.0,2003,4,,
169,,22319.0,"ул. Охотничья, д. 10/12, к. 1, Москва",965.2,1957,4,,
170,,22320.0,"ул. Охотничья, д. 10/12, к. 3, Москва",1210.2,1957,4,,
171,,22321.0,"ул. Охотничья, д. 10/12, к. 5, Москва",966.0,1957,4,,
172,,22322.0,"ул. Охотничья, д. 10/12, к. 6, Москва",957.0,1957,4,,
173,,22323.0,"ул. Охотничья, д. 10/12, к. 2, Москва",1169.8,1958,4,,
174,,22324.0,"ул. Охотничья, д. 10/12, к. 4, Москва",969.0,1957,4,,
175,,22402.0,"ул. Палехская, д. 122, к. 1, Москва",1965.7,1958,4,,
176,,22404.0,"ул. Палехская, д. 124, к. 1, Москва",1992.7,1958,4,,
177,,22405.0,"ул. Палехская, д. 124, к. 2, Москва",1989.9,1958,4,,
178,,22409.0,"ул. Палехская, д. 143, Москва",2631.4,1940,4,,
179,,22410.0,"ул. Палехская, д. 147, Москва",1005.7,1938,4,,
180,,22416.0,"ул. Палиха, д. 7/9, к. 6, Москва",1921.9,1917,4,,
181,,22420.0,"ул. Палиха, д. 7-9, к. 6, Москва",1922.0,1917,4,,
182,,22453.0,"пер. Панфиловский, д. 1/16, стр. 2, Москва",633.8,1946,4,,
183,,22457.0,"пер. Панфиловский, д. 6, Москва",1035.5,1925,4,,
184,,22480.0,"п. Первомайское, п. Первомайское, ул. Парковая, д. 9, к. 1, Москва",1098.9,2016,4,,
185,,22481.0,"п. Первомайское, п. Первомайское, ул. Парковая, д. 9, к. 2, Москва",1117.7,2016,4,,
186,,22482.0,"п. Первомайское, п. Первомайское, ул. Парковая, д. 9, к. 3, Москва",1825.8,2016,4,,
187,,22483.0,"п. Первомайское, п. Первомайское, ул. Парковая, д. 9, к. 4, Москва",1820.6,2016,4,,
188,,22484.0,"п. Первомайское, п. Первомайское, ул. Парковая, д. 9, Москва",1072.0,2016,4,,
189,,22486.0,"п. Первомайское, п. Первомайское, ул. Парковая, д. 11, к. 1, Москва",766.1,2016,4,,
190,,22487.0,"п. Первомайское, п. Первомайское, ул. Парковая, д. 11, к. 3, Москва",1814.7,2016,4,,
191,,22488.0,"п. Первомайское, п. Первомайское, ул. Парковая, д. 11, Москва",770.4,2016,4,1,16
192,,22500.0,"ул. Партизанская, д. 9, к. 1, Москва",2658.8,1960,4,,
193,,22501.0,"ул. Партизанская, д. 9, к. 2, Москва",2693.8,0,4,,
194,,22502.0,"ул. Партизанская, д. 13, к. 1, Москва",4626.4,0,4,,
196,,22505.0,"ул. Партизанская, д. 18, к. 2, Москва",2145.8,1952,4,,
197,,22571.0,"пер. Певческий, д. 1/2, стр. 2Б, Москва",789.0,1917,4,,
198,,22579.0,"ул. Пенягинская, д. 6, Москва",3511.8,1999,4,,
199,,22580.0,"ул. Пенягинская, д. 8, Москва",2473.3,1999,4,,
200,,22581.0,"ул. Пенягинская, д. 10, Москва",3596.3,1999,4,,
201,,22583.0,"ул. Пенягинская, д. 12, Москва",2415.4,1999,4,,
202,,22585.0,"ул. Пенягинская, д. 16, Москва",1991.9,1999,4,,
203,,22589.0,"ул. Пенягинская, д. 22, Москва",2050.4,2000,4,,
205,,22594.0,"аллея. 1 Маевки, д. 11, к. 2, Москва",2379.0,1959,4,,
206,,22596.0,"аллея. 1 Маевки, д. 13, к. 2, Москва",2356.4,1958,4,,
207,,22609.0,"ул. Первомайская, д. 16, Москва",2220.0,1959,4,,
208,,22614.0,"ул. Первомайская, д. 25/26, Москва",3969.9,1951,4,,
209,,22621.0,"ул. Первомайская, д. 37, Москва",1409.4,1950,4,,
210,,22645.0,"ул. Первомайская, д. 76, Москва",5043.0,1953,4,,
211,,22647.0,"ул. Первомайская, д. 80, Москва",3971.0,1953,4,,
212,,22680.0,"пер. Переведеновский, д. 6, стр. 3, Москва",973.5,1955,4,,
213,,22758.0,"ул. Перерва, д. 56, к. 1, Москва",2198.0,1995,4,,
214,,22857.0,"ул. Перовская, д. 46, к. 1, Москва",1759.0,1957,4,,
215,,22862.0,"ул. Перовская, д. 48, Москва",871.0,1955,4,,
216,,22922.0,"пер. Пестовский, д. 6, Москва",1554.0,1910,4,,
217,,22923.0,"пер. Пестовский, д. 7, Москва",2239.0,1957,4,,
218,,22924.0,"пер. Пестовский, д. 9, Москва",2528.0,1900,4,,
219,,22931.0,"ул. Песчаная, д. 10, Москва",2905.7,1949,4,,
220,,22963.0,"ул. Петра Романова, д. 9, Москва",3064.3,1950,4,,
221,,22965.0,"ул. Петра Романова, д. 11, Москва",1472.7,1950,4,2,24
222,,22970.0,"ул. Петра Романова, д. 17, Москва",1220.2,1950,4,,
223,,22976.0,"ул. Петровка, д. 17, стр. 2, Москва",4824.0,1892,4,,
224,,22978.0,"ул. Петровка, д. 17, стр. 4, Москва",3033.0,1892,4,,
225,,22979.0,"ул. Петровка, д. 17, стр. 5, Москва",3033.0,1892,4,,
226,,22980.0,"ул. Петровка, д. 19, стр. 1, Москва",3033.0,1892,4,,
227,,22981.0,"ул. Петровка, д. 19, стр. 5, Москва",3033.0,1892,4,,
228,,22982.0,"ул. Петровка, д. 19, стр. 8, Москва",3033.0,1892,4,,
229,,22986.0,"ул. Петровка, д. 24, стр. 3, Москва",1783.0,1914,4,,
230,,22987.0,"ул. Петровка, д. 26, стр. 2, Москва",8149.0,1876,4,,
231,,22994.0,"пер. Петровский, д. 5, стр. 4, Москва",1843.4,1998,4,,
232,,22996.0,"пер. Петровский, д. 5, стр. 2, Москва",1671.0,1882,4,,
233,,22997.0,"пер. Петровский, д. 5, стр. 3, Москва",1601.0,1882,4,,
234,,22998.0,"пер. Петровский, д. 5, стр. 7, Москва",1834.0,1888,4,,
235,,22999.0,"пер. Петровский, д. 5, стр. 8, Москва",1541.0,1882,4,,
236,,23002.0,"б-р. Петровский, д. 9, стр. 2, Москва",1057.0,1917,4,,
237,,23030.0,"проезд. Петровско-Разумовский, д. 13, к. 2, Москва",1266.0,1956,4,,
238,,23108.0,"пер. Печатников, д. 11, стр. 1, Москва",680.1,1917,4,,
239,,23109.0,"пер. Печатников, д. 11, стр. 2, Москва",810.2,1917,4,,
240,,23113.0,"пер. Печатников, д. 18, стр. 2, Москва",1225.2,1917,4,,
241,,23114.0,"пер. Печатников, д. 19, стр. 1, Москва",3634.9,2009,4,,
242,,23115.0,"пер. Печатников, д. 21, Москва",2376.6,1892,4,,
243,,23117.0,"пер. Печатников, д. 26, Москва",1319.9,1917,4,,
244,,23118.0,"пер. Печатников, д. 28, Москва",1185.2,1916,4,,
245,,23179.0,"ул. Планерная, д. 3, к. 3, Москва",3787.3,1999,4,,
246,,23182.0,"ул. Планерная, д. 3, к. 6, Москва",3622.2,1998,4,,
247,,23223.0,"ул. Планетная, д. 13, Москва",1293.0,1956,4,,
248,,23230.0,"ул. Планетная, д. 21, Москва",2170.0,1957,4,,
249,,23348.0,"пер. Плотников, д. 4/5, Москва",2568.0,1890,4,,
250,,23384.0,"ул. Плющиха, д. 16, стр. 1, Москва",904.0,1917,4,,
251,,23392.0,"ул. Плющиха, д. 30, Москва",1399.0,1917,4,2,15
252,,23409.0,"ул. Поварская, д. 8/1, стр. 2, Москва",2574.0,1887,4,,
253,,23410.0,"ул. Поварская, д. 8/1, стр. 1, Москва",7371.9,1887,4,,
254,,23414.0,"ул. Поварская, д. 23, стр. 1, Москва",1110.8,1917,4,,
255,,23494.0,"ул. Подмосковная, д. 8а, Москва",2897.2,1951,4,,
256,,23530.0,"пер. Подсосенский, д. 5А, Москва",1550.8,2003,4,,
257,,23532.0,"пер. Подсосенский, д. 8, стр. 2, Москва",1875.0,1917,4,,
258,,23541.0,"пер. Подсосенский, д. 18/5, стр. 1, Москва",2978.6,1917,4,,
259,,23549.0,"ул. Подъемная, д. 6, Москва",2494.0,1959,4,,
260,,23553.0,"ул. Подъемная, д. 8, Москва",1013.0,1957,4,,
261,,23554.0,"ул. Подъемная, д. 10, Москва",4984.0,1958,4,,
262,,23559.0,"пер. Пожарский, д. 7А, Москва",2942.0,1989,4,,
263,,23561.0,"пер. Пожарский, д. 9, Москва",2774.0,1917,4,,
264,,23571.0,"ул. Покровка, д. 2/1, стр. 2, Москва",1980.7,1914,4,,
265,,23579.0,"ул. Покровка, д. 19, Москва",6822.3,1901,4,,
266,,23583.0,"ул. Покровка, д. 25, стр. 2, Москва",1091.5,1923,4,,
267,,23585.0,"ул. Покровка, д. 29, Москва",8915.6,1895,4,,
268,,23599.0,"ул. Покровка, д. 41, стр. 2, Москва",3702.8,1928,4,,
269,,23601.0,"ул. Покровка, д. 43А, Москва",1554.4,1917,4,,
270,,23602.0,"ул. Покровка, д. 43, стр. 6, Москва",1184.0,1904,4,,
271,,23626.0,"б-р. Покровский, д. 4/17, стр. 7, Москва",1466.9,1893,4,,
272,,23822.0,"ул. Попутная, д. 1, Москва",4631.3,1961,4,,
273,,23826.0,"ул. Попутная, д. 2, Москва",4425.0,1960,4,,
274,,23829.0,"ул. Попутная, д. 4, Москва",4684.0,1960,4,,
275,,23855.0,"пер. Последний, д. 20, Москва",983.6,1928,4,,
276,,23857.0,"пер. Последний, д. 25, стр. 2, Москва",1848.4,1904,4,,
277,,23858.0,"п. Сосенское, п. Коммунарка, ул. Потаповская Роща, д. 8, Москва",6184.6,2016,4,,
278,,23859.0,"п. Сосенское, п. Коммунарка, ул. Потаповская Роща, д. 10, к. 1, Москва",5440.4,2016,4,,
280,,23861.0,"п. Сосенское, п. Коммунарка, ул. Потаповская Роща, д. 12, к. 1, Москва",7238.9,2016,4,,
281,,23862.0,"п. Сосенское, п. Коммунарка, ул. Потаповская Роща, д. 12, к. 2, Москва",4143.0,2016,4,4,48
283,,23864.0,"п. Сосенское, п. Коммунарка, ул. Потаповская Роща, д. 14, Москва",7152.4,2016,4,,
284,,23865.0,"п. Сосенское, п. Коммунарка, ул. Потаповская Роща, д. 16, к. 1, Москва",5105.8,2016,4,,
285,,23866.0,"п. Сосенское, п. Коммунарка, ул. Потаповская Роща, д. 16, к. 2, Москва",7612.2,2016,4,,
286,,23867.0,"п. Сосенское, п. Коммунарка, ул. Потаповская Роща, д. 18, к. 1, Москва",4152.0,2016,4,,
287,,23868.0,"п. Сосенское, п. Коммунарка, ул. Потаповская Роща, д. 18, к. 2, Москва",5417.6,2016,4,,
288,,23881.0,"проезд. Походный, д. 9, к. 1, Москва",3196.0,1961,4,,
289,,23928.0,"ул. Пресненский Вал, д. 36, Москва",1795.2,1910,4,,
290,,23929.0,"ул. Пресненский Вал, д. 38, стр. 1, Москва",1141.5,1912,4,,
292,,23948.0,"наб. Пречистенская, д. 45/1, стр. 3, Москва",2779.0,1917,4,,
293,,23950.0,"пер. Пречистенский, д. 12, Москва",1738.2,1912,4,,
294,,23956.0,"пер. Пречистенский, д. 20, Москва",3797.4,1912,4,,
295,,23990.0,"ул. Привольная, д. 39, к. 2, Москва",2250.0,1995,4,,
296,,23992.0,"ул. Привольная, д. 39, к. 4, Москва",2421.0,1995,4,,
297,,23993.0,"ул. Привольная, д. 47, к. 2, Москва",1577.0,1996,4,,
298,,24001.0,"ул. Привольная, д. 61, к. 2, Москва",2742.0,1997,4,,
299,,24002.0,"ул. Привольная, д. 61, к. 3, Москва",3003.0,1997,4,,
300,,24029.0,"ул. Приорова, д. 40, Москва",2881.5,1958,4,,
301,,24184.0,"ул. Профсоюзная, д. 17, к. 3, Москва",2443.3,1959,4,,
302,,24364.0,"ул. Проходчиков, д. 7, к. 1, Москва",2694.4,1939,4,,
303,,24365.0,"ул. Проходчиков, д. 7, к. 2, Москва",1703.7,1950,4,,
304,,24366.0,"ул. Проходчиков, д. 7, к. 3, Москва",2107.6,1951,4,,
305,,24381.0,"ул. Псковская, д. 4, Москва",2689.0,1958,4,,
306,,24394.0,"пер. Пуговишников, д. 5, Москва",1082.0,1956,4,,
307,,24396.0,"пер. Пуговишников, д. 9, Москва",1099.0,1956,4,,
308,,24397.0,"пер. Пуговишников, д. 13, Москва",1077.0,1956,4,,
309,,24455.0,"проезд. Путевой, д. 50, Москва",3491.0,1958,4,,
310,,24456.0,"пер. Пушкарев, д. 6, Москва",990.7,1916,4,,
311,,24464.0,"пер. Пушкарев, д. 20/17, Москва",2498.9,1916,4,4,36
312,,24502.0,"ул. Пятницкая, д. 17/4, стр. 1, Москва",1675.9,1912,4,,
313,,24503.0,"ул. Пятницкая, д. 18, стр. 3, Москва",1217.3,1913,4,,
314,,24505.0,"ул. Пятницкая, д. 20, стр. 2, Москва",2178.2,1900,4,,
315,,24507.0,"ул. Пятницкая, д. 33-35, стр. 2, Москва",1309.3,1900,4,,
316,,24508.0,"ул. Пятницкая, д. 37, Москва",2300.0,1924,4,,
317,,24511.0,"ул. Пятницкая, д. 43, стр. 3, Москва",3762.3,1913,4,,
318,,24516.0,"ул. Пятницкая, д. 54, стр. 1, Москва",1333.3,1917,4,,
319,,24517.0,"ул. Пятницкая, д. 57, стр. 2, Москва",1108.5,1903,4,,
320,,24601.0,"ул. Радужная, д. 14, к. 1, Москва",5128.6,1958,4,,
321,,24605.0,"ул. Радужная, д. 15, к. 2, Москва",2491.5,1959,4,,
322,,24708.0,"пер. Расторгуевский, д. 4, стр. 5, Москва",959.9,1956,4,,
323,,24709.0,"пер. Расторгуевский, д. 4А, Москва",960.0,1956,4,,
324,,24710.0,"ул. Ратная, д. 2, к. 2, Москва",3599.2,1995,4,,
325,,24713.0,"ул. Ратная, д. 8, к. 4, Москва",3890.9,1995,4,,
326,,24720.0,"ул. Ратная, д. 12, к. 2, Москва",5198.6,1995,4,,
327,,24722.0,"ул. Ратная, д. 14, Москва",5378.7,1995,4,,
328,,24829.0,"пл. Рогожская Застава, д. 2/1, стр. 2, Москва",3051.0,1926,4,,
329,,24883.0,"ул. Родионовская, д. 18, к. 2, Москва",5293.0,2010,4,,
331,,24941.0,"б-р. Рождественский, д. 10/7, стр. 2, Москва",548.4,1917,4,,
332,,24945.0,"б-р. Рождественский, д. 20, стр. 1, Москва",1295.4,1878,4,,
333,,24946.0,"б-р. Рождественский, д. 21, стр. 2, Москва",1544.0,1916,4,,
