Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Телефон 1,Телефон 2,Телефон 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Twitter,ВКонтакте,YouTube,Широта,Долгота,2GIS URL,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
Монинская библиотека,,Библиотеки,"Авиационная, 2а",1 этаж,141170.0,,,,Щёлково городской округ,Московская область,Россия,Ср: 11:00-19:00; Пт: 11:00-19:00 (санитарный день: последний день месяца),+03:00,84962531939,,,,,,,https://vk.com/public131396044,,55.83558,38.201351,https://2gis.com/firm/70000001028882425,,,,
Библиотечно-информационный и досуговый центр городского округа Бронницы,,Библиотеки,"Советская, 71",2 этаж,140170.0,,,Бронницы,Бронницы городской округ,Московская область,Россия,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Вс: 10:00-17:00 (санитарный день: последняя ср месяца),+03:00,84964644137,,,http://bibliotechniycenterbronnitcy.ru,,,,https://vk.com/bibliotechniycenterbronnitcy,https://youtube.com/channel/UCxeGJbAm8Wn3xMthi6IZivA,55.424779,38.267946,https://2gis.com/firm/70000001032765363,,,,
Монинская библиотека,,Библиотеки,"Новинское шоссе, 6",2 этаж,141171.0,,,,Щёлково городской округ,Московская область,Россия,Вт: 11:00-19:00; Ср: 11:00-21:00; Чт: 11:00-19:00; Пт: 11:00-21:00; Сб: 11:00-18:00; Вс: 11:00-18:00 (санитарный день: последний чт месяца),+03:00,84962531504,,,,,,,https://vk.com/public131396044,,55.845552,38.199949,https://2gis.com/firm/4504127916393407,,,,
Ржавская сельская библиотека,,Библиотеки,"Ржавки посёлок, ст2",23 кабинет; 2 этаж,141552.0,,,,Солнечногорск городской округ,Московская область,Россия,"Пн: 09:30-13:00, 14:00-18:30; Вт: 09:30-13:00, 14:00-18:30; Ср: 09:30-13:00, 14:00-18:30; Чт: 09:30-13:00, 14:00-18:30; Пт: 09:30-13:00, 14:00-18:30 (санитарный день: последний рабочий день месяца)",+03:00,84955461596,89060616162,,,,,,,,56.012132,37.223359,https://2gis.com/firm/70000001038346177,,,,
Приходская библиотека,,Библиотеки,"улица Филаретовская, 3Б",,124460.0,,Силино район,Зеленоград,,Москва,Россия,"Пн: 16:00-20:00; Вс: 09:00-13:00, 14:30-20:00",+03:00,89775424849,89060377900,89168753508,,,,,,,55.991677,37.180367,https://2gis.com/firm/70000001060933915,,,,
Рождественская сельская библиотека,,Библиотеки,"Микрорайонная, 5",,143591.0,,,,Истра городской округ,Московская область,Россия,"Ср: 11:00-13:00, 14:00-19:00; Пт: 11:00-13:00, 14:00-19:00; Сб: 11:00-13:00, 14:00-18:00 (санитарный день: последняя пт месяца)",+03:00,84963164613,89295517981,,,,,,,,55.857662,37.038935,https://2gis.com/firm/70000001029173306,,,,
Пушкинская библиотека,,Библиотеки,"Центральная, 37а",,141232.0,,,,Пушкинский городской округ,Московская область,Россия,"Вт: 09:00-12:20, 15:00-19:00; Ср: 09:00-12:20; Чт: 09:00-12:20, 15:00-19:00; Пт: 09:00-12:20, 15:00-19:00; Сб: 09:00-12:20, 15:00-19:00 (санитарный день: последний пн месяца)",+03:00,,,,http://bibliopushkino.ru,,,,https://vk.com/bibliopushkino,,56.091111,37.739104,https://2gis.com/firm/70000001029074729,,,,
Детская библиотека №33,,Библиотеки,"Каширское шоссе, 107",,142004.0,Центральный м-н,,Домодедово,Домодедово городской округ,Московская область,Россия,Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00,+03:00,84967942002,,,,,,,https://vk.com/biblioowl,,55.420322,37.77732,https://2gis.com/firm/70000001052949569,,,,
ЦБ Богородского городского округа,Городской филиал №7,Библиотеки,"Школьная, 53",2 этаж,142455.0,,,Электроугли,Богородский городской округ,Московская область,Россия,Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00,+03:00,84965147847,,,http://mcb-noginsk.mo.muzkult.ru,,,,,,55.718529,38.228568,https://2gis.com/firm/70000001025165224,,,,
Библиотека №252,,Библиотеки,"Зеленоград, к1432",,124617.0,14-й м-н,Крюково район,Зеленоград,,Москва,Россия,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00,+03:00,84997170844,84997172677,84997332431,http://www.zelbiblio.ru,,,,,,55.989544,37.154589,https://2gis.com/firm/4504127908785947,,,,
Библиотека №12,г. Подольск,Библиотеки,"Молодёжная, 9",2 этаж,142115.0,Залинейный м-н,,Подольск,Подольск городской округ,Московская область,Россия,Пн: 11:00-19:00; Вт: 11:00-19:00; Ср: 11:00-19:00; Чт: 11:00-19:00; Пт: 11:00-19:00; Сб: 11:00-19:00 (детское отделение: пн-сб 10:00-18:00; санитарный день: последний рабочий день месяца ),+03:00,84967541255,,,,,,,https://vk.com/club104035114,,55.407516,37.567596,https://2gis.com/firm/4504127909198229,,,,
Библиотека информационно-образовательных ресурсов,,Библиотеки,"Профессиональная улица, 7",3 этаж,143395.0,,,,Наро-Фоминский городской округ,Московская область,Россия,Пн: 10:00-17:00; Вт: 10:00-17:00; Ср: 10:00-17:00; Чт: 10:00-17:00; Пт: 10:00-17:00,+03:00,84963421941,89774741784,,,,,,,,55.524207,36.984797,https://2gis.com/firm/70000001048991532,,,,
Библиотека №18,,Библиотеки,"Молодёжный посёлок, 18а",,142113.0,,,,Подольск городской округ,Московская область,Россия,Вт: 11:00-19:00; Ср: 11:00-19:00; Чт: 11:00-19:00; Пт: 11:00-19:00; Сб: 11:00-19:00 (санитарный день - последний рабочий день месяца),+03:00,,,,,,,,,,55.326454,37.487801,https://2gis.com/firm/70000001040650806,,,,
Пушкинская библиотека,Жуковское,Библиотеки,"Школьная, 6Б",,141214.0,,,,Пушкинский городской округ,Московская область,Россия,Вт: 11:00-19:00; Ср: 11:00-19:00; Чт: 11:30-19:00; Пт: 11:30-19:00; Сб: 11:30-19:00 (санитарный день: последний чт месяца),+03:00,,,,http://bibliopushkino.ru,,,,https://vk.com/bibliopushkino,,56.043458,37.981011,https://2gis.com/firm/70000001029076930,,,,
Библиотека №23,,Библиотеки,,,141052.0,,,,Мытищи городской округ,Московская область,Россия,Вт: 12:00-18:00; Ср: 12:00-18:00; Сб: 12:00-18:00,+03:00,84955677726,,,http://www.maukbic.ru,,,,,,56.105381,37.523921,https://2gis.com/firm/70000001047112078,,,,
Щаповская библиотека,,Библиотеки,"посёлок Щапово, 2Б",,108825.0,,Щаповское поселение,,,Москва,Россия,Вт: 11:00-18:00; Ср: 11:00-18:00; Чт: 11:00-18:00; Пт: 11:00-18:00; Сб: 11:00-18:00,+03:00,,,,,,,,,,55.417014,37.407361,https://2gis.com/firm/70000001039971486,,,,
Библиотека семейного чтения №4,г. Подольск,Библиотеки,"Сосновая улица, 10",1 этаж,142108.0,Кутузово м-н,,Подольск,Подольск городской округ,Московская область,Россия,Пн: 11:00-19:00; Вт: 11:00-19:00; Ср: 11:00-19:00; Чт: 11:00-19:00; Пт: 11:00-19:00; Сб: 11:00-19:00 (санитарный день: последний рабочий день месяца),+03:00,84967530392,,,,,,,,,55.397417,37.564371,https://2gis.com/firm/4504127909198133,,,,
Менделеевская детская библиотека,,Библиотеки,"Куйбышева, 11",,141570.0,,,,Солнечногорск городской округ,Московская область,Россия,Вт: 12:00-20:00; Ср: 12:00-20:00; Чт: 12:00-20:00; Пт: 12:00-20:00; Сб: 12:00-20:00 (санитарный день: последняя пт месяца),+03:00,,,,,,,,,,56.039976,37.232522,https://2gis.com/firm/70000001023140750,,,,
Менделеевская городская библиотека,,Библиотеки,"Куйбышева, 11",,141570.0,,,,Солнечногорск городской округ,Московская область,Россия,Вт: 12:00-20:30; Ср: 12:00-20:30; Чт: 12:00-20:30; Пт: 12:00-20:30; Сб: 12:00-20:30 (санитарный день: последняя пт месяца),+03:00,84955464311,,,,,,,,,56.039976,37.232522,https://2gis.com/firm/70000001023140840,,,,
Городская библиотека №35,г. Домодедово,Библиотеки,"площадь Гагарина, 1",1 этаж,142007.0,Авиационный м-н,,Домодедово,Домодедово городской округ,Московская область,Россия,Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00 (санитарный день: последняя пт месяца),+03:00,84967925858,,,,,,,,,55.414754,37.836465,https://2gis.com/firm/4504127909076724,,,,
Центральная библиотека им. А.С. Пушкина Богородского городского округа,,Библиотеки,"улица 3-го Интернационала, 141",1 этаж,142407.0,,,Ногинск,Богородский городской округ,Московская область,Россия,Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-21:00; Сб: 10:00-20:00 (санитарный день: последняя пт месяца),+03:00,84965114695,,,http://mcb-noginsk.mo.muzkult.ru/,,,,https://vk.com/club157767467,,55.844594,38.411264,https://2gis.com/firm/70000001022919640,,,,
Богословская сельская библиотека,,Библиотеки,"деревня Богослово, 13",,141196.0,,,,Щёлково городской округ,Московская область,Россия,Вт: 13:00-19:00; Чт: 13:00-19:00; Сб: 13:00-19:00,+03:00,,,,,,,,https://vk.com/club130675989,,56.015282,38.072351,https://2gis.com/firm/70000001064067219,,,,
Библиотека,,Библиотеки,"Комсомольская улица, 15а",1 этаж,143360.0,,,Апрелевка,Наро-Фоминский городской округ,Московская область,Россия,Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00 (санитарный день: последняя пт месяца),+03:00,84963453292 (доп.106),,,,,,,https://vk.com/id450315449,,55.552729,37.081315,https://2gis.com/firm/70000001055237117,,,,
