Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Телефон 1,Телефон 2,Телефон 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Twitter,ВКонтакте,YouTube,Широта,Долгота,2GIS URL,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
Префектура Северного административного округа,,Администрации районов / округов городской власти,"Тимирязевская, 27",1 этаж,127422.0,,Тимирязевский район,Москва,,Москва,Россия,"Пн: 08:00-12:00, 12:45-17:00; Вт: 08:00-12:00, 12:45-17:00; Ср: 08:00-12:00, 12:45-17:00; Чт: 08:00-12:00, 12:45-17:00; Пт: 08:00-12:00, 12:45-15:45",+03:00,84999764727,,,http://www.sao.mos.ru,,,,,,55.816568,37.563262,https://2gis.com/firm/4504127908658062,,,,
Префектура Северо-Восточного административного округа,,Администрации районов / округов городской власти,"проспект Мира, 18",,129090.0,,Мещанский район,Москва,,Москва,Россия,"Пн: 08:00-12:00, 12:45-17:00; Вт: 08:00-12:00, 12:45-17:00; Ср: 08:00-12:00, 12:45-17:00; Чт: 08:00-12:00, 12:45-17:00; Пт: 08:00-12:00, 12:45-15:45",+03:00,84956817181,,,http://svao.mos.ru,,,https://twitter.com/pressSVAO,https://vk.com/svaomosru,https://youtube.com/channel/UC3ISAqbQX6dgvzyFoQWF-iA,55.776373,37.633615,https://2gis.com/firm/4504127908658529,,,,
Префектура Юго-Восточного административного округа,,Администрации районов / округов городской власти,"Авиамоторная улица, 10",,111024.0,,Лефортово район,Москва,,Москва,Россия,"Пн: 08:00-12:00, 12:45-17:00; Вт: 08:00-12:00, 12:45-17:00; Ср: 08:00-12:00, 12:45-17:00; Чт: 08:00-12:00, 12:45-17:00; Пт: 08:00-12:00, 12:45-15:45",+03:00,84953612382,84953622248,,,,,,,,55.753889,37.714564,https://2gis.com/firm/4504127908669684,,,,
Префектура Южного административного округа,,Администрации районов / округов городской власти,"Автозаводская улица, 10",,115280.0,,Даниловский район,Москва,,Москва,Россия,"Пн: 08:00-12:00, 12:45-17:00; Вт: 08:00-12:00, 12:45-17:00; Ср: 08:00-12:00, 12:45-17:00; Чт: 08:00-12:00, 12:45-17:00; Пт: 08:00-12:00, 12:45-15:45",+03:00,84957523339,,,http://uao.mos.ru,,,,,,55.705869,37.654319,https://2gis.com/firm/70000001026876365,,,,
Префектура Юго-Западного административного округа,,Администрации районов / округов городской власти,"Севастопольский проспект, 28 к4",,117209.0,,Черёмушки район,Москва,,Москва,Россия,"Пн: 08:00-12:30, 13:15-17:00; Вт: 08:00-12:30, 13:15-17:00; Ср: 08:00-12:30, 13:15-17:00; Чт: 08:00-12:30, 13:15-17:00; Пт: 08:00-12:30, 13:15-15:45",+03:00,84991287769 (приемная),,,http://uzao.mos.ru,,,,,,55.662749,37.576073,https://2gis.com/firm/4504127908669996,,,,
Префектура Центрального административного округа,,Администрации районов / округов городской власти,"Марксистская, 24",,109147.0,,Таганский район,Москва,,Москва,Россия,"Пн: 08:00-12:00, 13:00-17:00; Вт: 08:00-12:00, 13:00-17:00; Ср: 08:00-12:00, 13:00-17:00; Чт: 08:00-12:00, 13:00-17:00; Пт: 08:00-12:00, 13:00-15:45",+03:00,84959125503 (приемная),,,http://www.cao.mos.ru,,,,,,55.73677,37.661484,https://2gis.com/firm/4504127908669251,,,,
Управа Басманного района,,Администрации районов / округов городской власти,"Новая Басманная улица, 37 ст1",2 этаж,105066.0,,Басманный район,Москва,,Москва,Россия,"Пн: 08:00-12:00, 12:45-17:00; Вт: 08:00-12:00, 12:45-17:00; Ср: 08:00-12:00, 12:45-17:00; Чт: 08:00-12:00, 12:45-17:00; Пт: 08:00-12:00, 12:45-15:45",+03:00,84992610640 (круглосуточный),84992610648,,http://basman.mos.ru,,,,,,55.770397,37.668805,https://2gis.com/firm/4504127908557268,,,,
Префектура Восточного административного округа,,Администрации районов / округов городской власти,"Преображенская площадь, 9",,107076.0,,Преображенское район,Москва,,Москва,Россия,"Пн: 08:00-12:30, 13:00-17:00; Вт: 08:00-12:30, 13:00-17:00; Ср: 08:00-12:30, 13:00-17:00; Чт: 08:00-12:30, 13:00-17:00; Пт: 08:00-12:30, 13:00-15:45",+03:00,84991611203,,,http://www.vao.mos.ru,,,,https://vk.com/vaonews,,55.796845,37.70931,https://2gis.com/firm/4504127908652718,,,,
Управа района Люблино,,Администрации районов / округов городской власти,"Люблинская улица, 53",2 этаж,109387.0,,Люблино район,Москва,,Москва,Россия,"Пн: 08:00-12:00, 12:45-17:00; Вт: 08:00-12:00, 12:45-17:00; Ср: 08:00-12:00, 12:45-17:00; Чт: 08:00-12:00, 12:45-17:00; Пт: 08:00-12:00, 12:45-15:45",+03:00,84953501733,,,http://lublino.mos.ru,,,,,,55.689928,37.73698,https://2gis.com/firm/4504127908559065,,,,
Управа района Вешняки,,Администрации районов / округов городской власти,"Вешняковская улица, 9 к2 ст2",1 этаж,111539.0,,Вешняки район,Москва,,Москва,Россия,"Пн: 08:00-12:30, 13:15-17:00; Вт: 08:00-12:30, 13:15-17:00; Ср: 08:00-12:30, 13:15-17:00; Чт: 08:00-12:30, 13:15-17:00; Пт: 08:00-12:30, 13:15-15:45",+03:00,84953702220 (приемная),,,http://veshnyaki.mos.ru,,,,,,55.736294,37.829165,https://2gis.com/firm/4504127908504017,,,,
Префектура Западного административного округа,,Администрации районов / округов городской власти,"Ивана Франко, 12",,121351.0,,Кунцево район,Москва,,Москва,Россия,"Пн: 08:00-12:00, 12:45-17:00; Вт: 08:00-12:00, 12:45-17:00; Ср: 08:00-12:00, 12:45-17:00; Чт: 08:00-12:00, 12:45-17:00; Пт: 08:00-12:00, 12:45-15:45",+03:00,84954434335,84991408962,84954436463,http://www.mos-zao.ru,,,,,,55.728311,37.443212,https://2gis.com/firm/4504127908657381,,,,
Управа Тверского района,,Администрации районов / округов городской власти,"Цветной бульвар, 21 ст8",,127051.0,,Тверской район,Москва,,Москва,Россия,"Пн: 08:00-12:00, 12:45-17:00; Вт: 08:00-12:00, 12:45-17:00; Ср: 08:00-12:00, 12:45-17:00; Чт: 08:00-12:00, 12:45-17:00; Пт: 08:00-12:00, 12:45-15:45",+03:00,84992515866 (горячая линия: круглосуточно),,,http://tveruprava.mos.ru,,,,,,55.772165,37.62011,https://2gis.com/firm/4504127908558106,,,,
Управа Мещанского района,,Администрации районов / округов городской власти,"проспект Мира, 5 ст2",1-3 этаж,129090.0,,Мещанский район,Москва,,Москва,Россия,"Пн: 08:00-12:00, 13:00-17:00; Вт: 08:00-12:00, 13:00-17:00; Ср: 08:00-12:00, 13:00-17:00; Чт: 08:00-12:00, 13:00-17:00; Пт: 08:00-12:00, 13:00-15:45",+03:00,84956076940 (приемная),,,,,,,https://vk.com/upravames,,55.774819,37.632037,https://2gis.com/firm/4504127908557860,,,,
Управа Таганского района,,Администрации районов / округов городской власти,"Воронцовская улица, 21",2 этаж,109147.0,,Таганский район,Москва,,Москва,Россия,"Пн: 08:00-12:00, 12:45-17:00; Вт: 08:00-12:00, 12:45-17:00; Ср: 08:00-12:00, 12:45-17:00; Чт: 08:00-12:00, 12:45-17:00; Пт: 09:00-12:00, 12:45-15:45",+03:00,84959124384 (горячая линия - круглосуточно),,,,,,,,,55.737108,37.659273,https://2gis.com/firm/70000001061376599,,,,
Управление Пресненского района,,Администрации районов / округов городской власти,"Шмитовский проезд, 2 ст1",,123100.0,,Пресненский район,Москва,,Москва,Россия,"Пн: 08:00-12:00, 13:00-17:00; Вт: 08:00-12:00, 13:00-17:00; Ср: 08:00-12:00, 13:00-17:00; Чт: 08:00-12:00, 13:00-17:00; Пт: 08:00-12:00, 13:00-17:00",+03:00,84956057842,,,http://presnya.mos.ru,,,,,,55.759467,37.55712,https://2gis.com/firm/4504127908557892,,,,
Управа Таганского района,,Администрации районов / округов городской власти,"Воронцовская улица, 21",3 этаж; 4 подъезд,109147.0,,Таганский район,Москва,,Москва,Россия,"Пн: 08:00-12:00, 12:45-17:00; Вт: 08:00-12:00, 12:45-17:00; Ср: 08:00-12:00, 12:45-17:00; Чт: 08:00-12:00, 12:45-17:00; Пт: 08:00-12:00, 12:45-15:45",+03:00,84959127579,,,,,,,,,55.736959,37.660181,https://2gis.com/firm/4504127908558084,,,,
Управа района Марьина Роща,г. Москва,Администрации районов / округов городской власти,"2-я Ямская улица, 15",,127018.0,,Марьина Роща район,Москва,,Москва,Россия,"Пн: 08:00-12:00, 12:45-17:00; Вт: 08:00-12:00, 12:45-17:00; Ср: 08:00-12:00, 12:45-17:00; Чт: 08:00-12:00, 12:45-17:00; Пт: 08:00-12:00, 12:45-15:45",+03:00,84956026467 (приемная),,,http://marina-roscha.mos.ru,,,https://twitter.com/upravamr,https://vk.com/marinaroshasvao,,55.794917,37.608905,https://2gis.com/firm/4504127908553286,,,,
Управа района Преображенское,,Администрации районов / округов городской власти,"Большая Черкизовская, 14а",,107061.0,,Преображенское район,Москва,,Москва,Россия,"Пн: 08:00-12:30, 13:15-17:00; Вт: 08:00-12:30, 13:15-17:00; Ср: 08:00-12:30, 13:15-17:00; Чт: 08:00-12:30, 13:15-17:00; Пт: 08:00-12:30, 13:15-15:45",+03:00,84991613290,,,http://preobr.mos.ru,,,,,,55.795861,37.725756,https://2gis.com/firm/4504127908519124,,,,
Управа района Замоскворечье,,Администрации районов / округов городской власти,"улица Бахрушина, 13",4 этаж,115054.0,,Замоскворечье район,Москва,,Москва,Россия,"Пн: 08:00-12:00, 12:45-17:00; Вт: 08:00-12:00, 12:45-17:00; Ср: 08:00-12:00, 12:45-17:00; Чт: 08:00-12:00, 12:45-17:00; Пт: 08:00-12:00, 12:45-15:45",+03:00,84956202850 (приемная),,,,,,,,,55.735499,37.635521,https://2gis.com/firm/4504127908557953,,,,
Управа района Соколиная Гора,,Администрации районов / округов городской власти,"улица Щербаковская, 5а",1 этаж,105318.0,,Соколиная Гора район,Москва,,Москва,Россия,"Пн: 08:00-13:00, 13:45-17:00; Вт: 08:00-13:00, 13:45-17:00; Ср: 08:00-13:00, 13:45-17:00; Чт: 08:00-13:00, 13:45-17:00; Пт: 08:00-13:00, 13:45-15:45",+03:00,84953654129,84953650560,84953692779,,,,,,,55.783225,37.72529,https://2gis.com/firm/4504127908519209,,,,
Управа района Лефортово,,Администрации районов / округов городской власти,"проезд Завода Серп и Молот, 10","6, 7 этаж",111250.0,,Лефортово район,Москва,,Москва,Россия,"Пн: 08:00-12:00, 12:45-17:00; Вт: 08:00-12:00, 12:45-17:00; Ср: 08:00-12:00, 12:45-17:00; Чт: 08:00-12:00, 12:45-17:00; Пт: 08:00-12:00, 12:45-15:45",+03:00,84953628630,,,,,,,,,55.753116,37.700994,https://2gis.com/firm/4504127917688720,,,,
Управа района Якиманка,,Администрации районов / округов городской власти,"Люсиновская улица, 27 ст2",,115093.0,,Замоскворечье район,Москва,,Москва,Россия,"Пн: 08:00-12:00, 12:45-17:00; Вт: 08:00-12:00, 12:45-17:00; Ср: 08:00-12:00, 12:45-17:00; Чт: 08:00-12:00, 12:45-17:00; Пт: 08:00-12:00, 12:45-15:45",+03:00,84992383553 (приемная),,,http://yakimanka.mos.ru,,,,,,55.725218,37.623685,https://2gis.com/firm/4504127908558069,,,,
Управа Савеловского района,,Администрации районов / округов городской власти,"Петровско-Разумовский проезд, 5",1 этаж,127083.0,,Савёловский район,Москва,,Москва,Россия,"Пн: 08:00-12:00, 12:45-17:00; Вт: 08:00-12:00, 12:45-17:00; Ср: 08:00-12:00, 12:45-17:00; Чт: 08:00-12:00, 12:45-17:00; Пт: 08:00-12:00, 12:45-15:45",+03:00,84956140782 (круглосуточный),,,http://savelovskiy.mos.ru,,,https://twitter.com/Moscow,https://vk.com/mos,,55.794032,37.568766,https://2gis.com/firm/4504127908532189,,,,
Управа района Арбат,,Администрации районов / округов городской власти,"улица Арбат, 40 ст2",1 этаж,119002.0,,Арбат район,Москва,,Москва,Россия,"Пн: 08:00-12:00, 12:45-17:00; Вт: 08:00-12:00, 12:45-17:00; Ср: 08:00-12:00, 12:45-17:00; Чт: 08:00-12:00, 12:45-17:00; Пт: 08:00-12:00, 12:45-15:45",+03:00,84992413349,,,,,,,,,55.748711,37.587618,https://2gis.com/firm/4504127908949653,,,,
Управа района Аэропорт,,Администрации районов / округов городской власти,"улица Усиевича, 23/5",1 этаж,125315.0,,Аэропорт район,Москва,,Москва,Россия,"Пн: 08:00-12:00, 12:45-17:00; Вт: 08:00-12:00, 12:45-17:00; Ср: 08:00-12:00, 12:45-17:00; Чт: 08:00-12:00, 12:45-17:00; Пт: 08:00-12:00, 12:45-15:45",+03:00,84991513656 (приемная),,,http://aeroport.mos.ru,,,,,,55.805835,37.525861,https://2gis.com/firm/4504127908531204,,,,
Управа района Дорогомилово,,Администрации районов / округов городской власти,"улица Студенческая, 44/28",,121165.0,,Дорогомилово район,Москва,,Москва,Россия,"Пн: 08:00-12:00, 12:45-17:00; Вт: 08:00-12:00, 12:45-17:00; Ср: 08:00-12:00, 12:45-17:00; Чт: 08:00-12:00, 12:45-17:00; Пт: 08:00-12:00, 12:45-15:45",+03:00,84992491080,,,,,,,,,55.739152,37.537678,https://2gis.com/firm/70000001030783099,,,,
Управа Хорошёвского района,,Администрации районов / округов городской власти,"Хорошёвское шоссе, 84 к3",1 этаж,123007.0,,Хорошёвский район,Москва,,Москва,Россия,"Пн: 08:00-12:00, 12:45-17:00; Вт: 08:00-12:00, 12:45-17:00; Ср: 08:00-12:00, 12:45-17:00; Чт: 08:00-12:00, 12:45-17:00; Пт: 08:00-12:00, 12:45-15:45",+03:00,84959436253,,,http://khoroshevskiy.mos.ru,,,,,,55.779135,37.51954,https://2gis.com/firm/4504127908535151,,,,
Управа района Беговой,,Администрации районов / округов городской власти,"Ленинградский проспект, 30 ст3",,125040.0,,Беговой район,Москва,,Москва,Россия,"Пн: 08:00-12:00, 12:45-17:00; Вт: 08:00-12:00, 12:45-17:00; Ср: 08:00-12:00, 12:45-17:00; Чт: 08:00-12:00, 12:45-17:00; Пт: 08:00-12:00, 12:45-15:45",+03:00,84956127928,84956147891 (приемная),84956147890,,,,,,,55.784993,37.571427,https://2gis.com/firm/4504127908531242,,,,
Управа района Филёвский парк,,Администрации районов / округов городской власти,"улица Большая Филёвская, 13",1 этаж,121309.0,,Филёвский парк район,Москва,,Москва,Россия,"Пн: 08:00-12:00, 12:45-17:00; Вт: 08:00-12:00, 12:45-17:00; Ср: 08:00-12:00, 12:45-17:00; Чт: 08:00-12:00, 12:45-17:00; Пт: 08:00-12:00, 12:45-15:45",+03:00,84991456660 (горячая линия - круглосуточно),,,,,,,,,55.748492,37.500095,https://2gis.com/firm/4504127908527386,,,,
Управа Тимирязевского района,,Администрации районов / округов городской власти,"Астрадамский проезд, 4",1 этаж,127206.0,,Тимирязевский район,Москва,,Москва,Россия,"Пн: 08:00-12:00, 13:00-17:00; Вт: 08:00-12:00, 13:00-17:00; Ср: 08:00-12:00, 13:00-17:00; Чт: 08:00-12:00, 13:00-17:00; Пт: 08:00-12:00, 13:00-15:45",+03:00,84997608588,84997608576,84997609899,http://timiryazevskiy.mos.ru,,,,,,55.811593,37.561251,https://2gis.com/firm/4504127908532215,,,,
Управа района Коптево,,Администрации районов / округов городской власти,"улица Зои и Александра Космодемьянских, 31 к1",3 этаж,125130.0,,Коптево район,Москва,,Москва,Россия,"Пн: 08:00-12:00, 13:00-17:00; Вт: 08:00-12:00, 13:00-17:00; Ср: 08:00-12:00, 13:00-17:00; Чт: 08:00-12:00, 13:00-17:00; Пт: 08:00-12:00, 13:00-15:45",+03:00,84954504889 (горячая линия - круглосуточно),,,,,,,,,55.824275,37.522218,https://2gis.com/firm/4504127908531383,,,,
Управа района Сокольники,,Администрации районов / округов городской власти,"улица Стромынка, 3",5 этаж,107014.0,,Сокольники район,Москва,,Москва,Россия,"Пн: 08:00-12:30, 13:30-17:00; Вт: 08:00-12:30, 13:30-17:00; Ср: 08:00-12:30, 13:30-17:00; Чт: 08:00-12:30, 13:30-17:00; Пт: 08:00-12:30, 13:30-15:45",+03:00,84992686101 (круглосуточный),,,http://sokolniki.mos.ru,,,,,,55.790694,37.683508,https://2gis.com/firm/4504127908519290,,,,
Управа района Богородское,,Администрации районов / округов городской власти,"улица Краснобогатырская, 29 к2",1 этаж,107564.0,,Богородское район,Москва,,Москва,Россия,"Пн: 08:00-12:30, 13:15-17:00; Вт: 08:00-12:30, 13:15-17:00; Ср: 08:00-12:30, 13:15-17:00; Пт: 08:00-12:30, 13:15-15:45",+03:00,84991625261 (приемная),84957777777 (единая справочная - круглосуточно),,http://bogorodskoe.mos.ru,,,,,,55.811076,37.706115,https://2gis.com/firm/4504127908503992,,,,
Управа Нижегородского района,,Администрации районов / округов городской власти,"Нижегородская улица, 58 к1",2 этаж,109052.0,,Нижегородский район,Москва,,Москва,Россия,"Пн: 08:00-12:00, 13:00-17:00; Вт: 08:00-12:00, 13:00-17:00; Ср: 08:00-12:00, 13:00-17:00; Чт: 08:00-12:00, 13:00-17:00; Пт: 08:00-12:00, 13:00-15:45",+03:00,84956785049,84956788079,,http://nizhegorodsky.mos.ru,,,,,,55.734115,37.705345,https://2gis.com/firm/4504127908559284,,,,
Префектура Северо-Западного административного округа,,Администрации районов / округов городской власти,"улица Свободы, 13/2 ст1а",1-6 этаж,125362.0,,Покровское-Стрешнево район,Москва,,Москва,Россия,Пн: 08:00-17:00; Вт: 08:00-17:00; Ср: 08:00-17:00; Чт: 08:00-17:00; Пт: 08:00-15:45,+03:00,84957777777 (единая справочная - круглосуточно),84954911377,,http://szao.mos.ru,,,https://twitter.com/szaomos,https://vk.com/szaomos,,55.829362,37.451471,https://2gis.com/firm/4504127908659229,,,,
Управа Останкинского района,,Администрации районов / округов городской власти,"улица Академика Королёва, 10",2 этаж,129515.0,,Останкинский район,Москва,,Москва,Россия,"Пн: 08:00-12:00, 12:45-17:00; Вт: 08:00-12:00, 12:45-17:00; Ср: 08:00-12:00, 12:45-17:00; Чт: 08:00-12:00, 12:45-17:00; Пт: 08:00-12:00, 12:45-15:45",+03:00,84956156768,,,,,,https://twitter.com/ZiPv9Rwq60oP1I4,https://vk.com/ostankinosvao,,55.823993,37.620287,https://2gis.com/firm/4504127908553340,,,,
Управа Донского района,,Администрации районов / округов городской власти,"Варшавское шоссе, 10","1, 2 этаж",117105.0,,Донской район,Москва,,Москва,Россия,"Пн: 08:00-12:00, 12:45-17:00; Вт: 08:00-12:00, 12:45-17:00; Ср: 08:00-12:00, 12:45-17:00; Чт: 08:00-12:00, 12:45-17:00; Пт: 08:00-12:00, 12:45-15:45",+03:00,84959582764,84959582644,84959581590 (круглосуточный),http://donskoy.mos.ru,,,,,,55.697562,37.619735,https://2gis.com/firm/4504127908565466,,,,
Управа Бутырского района,,Администрации районов / округов городской власти,"улица Милашенкова, 14",4 этаж,127322.0,,Бутырский район,Москва,,Москва,Россия,"Пн: 08:00-12:00, 13:00-17:00; Вт: 08:00-12:00, 13:00-17:00; Ср: 08:00-12:00, 13:00-17:00; Чт: 08:00-12:00, 13:00-17:00; Пт: 08:00-12:00, 13:00-15:45",+03:00,84956198047,,,http://butyrsky.mos.ru,,,,https://vk.com/upravabutyrsky,,55.828447,37.580242,https://2gis.com/firm/4504127908553142,,,,
Управа района Фили-Давыдково,,Администрации районов / округов городской власти,"Кастанаевская улица, 29 к2",1-2 этаж,121108.0,,Фили-Давыдково район,Москва,,Москва,Россия,"Пн: 08:00-12:00, 13:00-17:00; Вт: 08:00-12:00, 13:00-17:00; Ср: 08:00-12:00, 13:00-17:00; Чт: 08:00-12:00, 13:00-17:00; Пт: 08:00-12:00, 13:00-15:45",+03:00,84991464880,,,http://fili-davydkovo.mos.ru,,,,,,55.734588,37.480955,https://2gis.com/firm/4504127908527421,,,,
Управа Красносельского района,,Администрации районов / округов городской власти,"Нижняя Красносельская улица, 5 ст7",,107140.0,,Красносельский район,Москва,,Москва,Россия,"Пн: 08:00-12:00, 13:00-17:00; Вт: 08:00-12:00, 13:00-17:00; Ср: 08:00-12:00, 13:00-17:00; Чт: 08:00-12:00, 13:00-17:00; Пт: 08:00-12:00, 13:00-15:45",+03:00,84992644837 (круглосуточный),,,,,,,,,55.779281,37.668426,https://2gis.com/firm/4504127908557280,,,,
Управа Гагаринского района,,Администрации районов / округов городской власти,"Ленинский проспект, 68/10","1, 2 этаж",119296.0,,Гагаринский район,Москва,,Москва,Россия,"Пн: 08:00-13:00, 13:45-17:00; Вт: 08:00-13:00, 13:45-17:00; Ср: 08:00-13:00, 13:45-17:00; Чт: 08:00-13:00, 13:45-17:00; Пт: 08:00-13:00, 13:45-15:45",+03:00,84959305962 (приемная),,,http://gagarin.mos.ru,,,,,,55.689773,37.544119,https://2gis.com/firm/4504127908560076,,,,
Управа Войковского района,,Администрации районов / округов городской власти,"1-й Новоподмосковный переулок, 2/1",1 этаж,125171.0,,Войковский район,Москва,,Москва,Россия,"Пн: 08:00-12:00, 12:45-17:00; Вт: 08:00-12:00, 12:45-17:00; Ср: 08:00-12:00, 12:45-17:00; Чт: 08:00-12:00, 12:45-17:00; Пт: 08:00-12:00, 12:45-15:45",+03:00,84991562002,,,http://voykovsky.mos.ru,,,,,,55.815784,37.503948,https://2gis.com/firm/4504127908531278,,,,
Администрация муниципального округа Тверской,,Администрации районов / округов городской власти,"Цветной бульвар, 21 ст8",,127051.0,,Тверской район,Москва,,Москва,Россия,"Пн: 09:00-12:00, 13:00-18:00; Вт: 09:00-12:00, 13:00-18:00; Ср: 09:00-12:00, 13:00-18:00; Чт: 09:00-12:00, 13:00-18:00; Пт: 09:00-12:00, 13:00-16:45",+03:00,84992516894,84992516167,,http://adm-tver.ru,,,,,,55.772165,37.62011,https://2gis.com/firm/4504127908557195,,,,
Управа Алексеевского района,,Администрации районов / округов городской власти,"проспект Мира, 104",1 этаж,129626.0,,Алексеевский район,Москва,,Москва,Россия,"Пн: 08:00-12:00, 12:45-17:00; Вт: 08:00-12:00, 12:45-17:00; Ср: 08:00-12:00, 12:45-17:00; Чт: 08:00-12:00, 12:45-17:00; Пт: 08:00-12:00, 12:45-15:45",+03:00,84956202820,,,http://alekseevsky.mos.ru,,,https://twitter.com/upravalexeevsky,https://vk.com/upravaalexeevsky,,55.802117,37.636694,https://2gis.com/firm/4504127908553035,,,,
Управа Щукинского района,,Администрации районов / округов городской власти,"Расплетина, 9",,123060.0,,Щукино район,Москва,,Москва,Россия,"Пн: 08:00-12:00, 12:45-17:00; Вт: 08:00-12:00, 12:45-17:00; Ср: 08:00-12:00, 12:45-17:00; Чт: 08:00-12:00, 12:45-17:00; Пт: 08:00-12:00, 12:45-15:45",+03:00,84991972845,84951974483 (канцелярия),,,,,,,,55.794099,37.483007,https://2gis.com/firm/4504127908556166,,,,
Управа района Хорошёво-Мнёвники,,Администрации районов / округов городской власти,"улица Народного Ополчения, 33 к1","1, 2 этаж",123154.0,,Хорошёво-Мнёвники район,Москва,,Москва,Россия,"Пн: 08:00-12:00, 12:45-17:00; Вт: 08:00-12:00, 12:45-17:00; Ср: 08:00-12:00, 12:45-17:00; Чт: 08:00-12:00, 12:45-17:00; Пт: 08:00-12:00, 12:45-15:45",+03:00,84991929401,84991922556,,http://horoshevo-mnevniki.mos.ru,,,,,,55.786272,37.480511,https://2gis.com/firm/4504127908556103,,,,
Управа района Текстильщики,,Администрации районов / округов городской власти,"8-я улица Текстильщиков, 16 к5",,109129.0,,Текстильщики район,Москва,,Москва,Россия,"Пн: 08:00-12:00, 12:45-17:00; Вт: 08:00-12:00, 12:45-17:00; Ср: 08:00-12:00, 12:45-17:00; Чт: 08:00-12:00, 12:45-17:00; Пт: 08:00-12:00, 12:45-15:45",+03:00,84991797971,,,http://tekstilschiky.mos.ru,,,,,,55.701506,37.746558,https://2gis.com/firm/4504127908559373,,,,
Управа Академического района,,Администрации районов / округов городской власти,"улица Новочерёмушкинская, 23 к5",3-5 этаж,117218.0,,Академический район,Москва,,Москва,Россия,"Пн: 08:00-12:30, 13:15-17:00; Вт: 08:00-12:30, 13:15-17:00; Ср: 08:00-12:30, 13:15-17:00; Чт: 08:00-12:30, 13:15-17:00; Пт: 08:00-12:30, 13:15-15:45",+03:00,84991250693 (приемная),84991250913,,http://akademichesky.mos.ru,,,,,,55.680761,37.580003,https://2gis.com/firm/4504127917804608,,,,
Управа района Перово,,Администрации районов / округов городской власти,"Зелёный проспект, 20","1, 13 этаж",111397.0,,Новогиреево район,Москва,,Москва,Россия,"Пн: 08:00-12:30, 13:15-17:00; Вт: 08:00-12:30, 13:15-17:00; Ср: 08:00-12:30, 13:15-17:00; Чт: 08:00-12:30, 13:15-17:00; Пт: 08:00-12:30, 13:15-15:45",+03:00,84953020543,,,http://perovo.mos.ru,,,,,,55.750559,37.787099,https://2gis.com/firm/4504127908519003,,,,
Аппарат совета депутатов муниципального округа Даниловский,,Администрации районов / округов городской власти,"Ленинская Слобода, 7",цокольный этаж,115280.0,,Даниловский район,Москва,,Москва,Россия,"Пн: 08:00-12:00, 12:45-17:00; Вт: 08:00-12:00, 12:45-17:00; Ср: 08:00-12:00, 12:45-17:00; Чт: 08:00-12:00, 12:45-17:00; Пт: 08:00-12:00, 12:45-15:45",+03:00,84956751165,84956750454,,http://www.danilovskoe.org,,,,,,55.711506,37.661042,https://2gis.com/firm/4504127918538787,,,,
Управа района Очаково-Матвеевское,,Администрации районов / округов городской власти,"Большая Очаковская улица, 10",2 этаж,119361.0,,Очаково-Матвеевское район,Москва,,Москва,Россия,"Пн: 08:00-12:00, 12:45-17:00; Вт: 08:00-12:00, 12:45-17:00; Ср: 08:00-12:00, 12:45-17:00; Чт: 08:00-12:00, 12:45-17:00; Пт: 08:00-12:00, 12:45-15:45",+03:00,84957777777 (единая справочная - круглосуточно),84954371250,,http://ochakovo.mos.ru,,,,,,55.688143,37.463573,https://2gis.com/firm/4504127908527152,,,,
Управа Рязанского района,,Администрации районов / округов городской власти,"1-я Новокузьминская улица, 10",2 этаж,109377.0,,Рязанский район,Москва,,Москва,Россия,"Пн: 08:00-12:00, 13:00-17:00; Вт: 08:00-12:00, 13:00-17:00; Ср: 08:00-12:00, 13:00-17:00; Чт: 08:00-12:00, 13:00-17:00; Пт: 08:00-12:00, 13:00-15:45",+03:00,84953792046 (приемная),,,,,,,,,55.715971,37.784888,https://2gis.com/firm/4504127908559337,,,,
Аппарат Совета депутатов муниципального округа Басманный,,Администрации районов / округов городской власти,"Новая Басманная улица, 37 ст1",1 этаж,105066.0,,Басманный район,Москва,,Москва,Россия,"Пн: 09:00-12:00, 13:00-18:00; Вт: 09:00-12:00, 13:00-18:00; Ср: 09:00-12:00, 13:00-18:00; Чт: 09:00-12:00, 13:00-18:00; Пт: 09:00-12:00, 13:00-16:45",+03:00,84956321371,,,http://www.basmanvmo.ru,,,,,,55.770397,37.668805,https://2gis.com/firm/4504127908556837,,,,
Управа района Черёмушки,,Администрации районов / округов городской власти,"улица Архитектора Власова, 25 к2",,117335.0,,Черёмушки район,Москва,,Москва,Россия,"Пн: 08:00-12:30, 13:15-17:00; Вт: 08:00-12:30, 13:15-17:00; Ср: 08:00-12:30, 13:15-17:00; Чт: 08:00-12:30, 13:15-17:00; Пт: 08:00-12:30, 13:15-15:45 (прием граждан: пн 15:00-17:00)",+03:00,84991200001,84991285977,,http://cheremush.mos.ru,,,,,,55.674381,37.549244,https://2gis.com/firm/4504127908560411,,,,
